"","group","indval","pvalue","freq"
"TRU",2,0.456081081081081,0.018,17
"PCH",3,0.857142857142857,0.001,7
"ANG",3,0.734693877551021,0.001,11
"BCO",3,0.703448275862069,0.002,9
"BBO",3,0.69364161849711,0.003,10
"GRE",3,0.685714285714286,0.001,12
"CAR",3,0.681818181818182,0.003,12
"PSO",3,0.662337662337662,0.002,13
"BOU",3,0.655172413793103,0.001,11
"ROT",3,0.591928251121076,0.004,11
"BRO",3,0.545454545454546,0.003,18
"TAN",3,0.535117056856187,0.008,17
"SPI",3,0.523809523809524,0.01,12
"ABL",3,0.506756756756757,0.005,14
"BAR",3,0.495145631067961,0.004,14
"GOU",3,0.475471698113208,0.011,20
"GAR",3,0.469820554649266,0.015,18
"PER",3,0.458149779735683,0.019,15
"HOT",3,0.409090909090909,0.048,12
"CHA",4,0.8,0.001,8
"BLA",4,0.63,0.002,8
"OMB",4,0.6125,0.004,8
"VAI",4,0.507592190889371,0.001,20
"LOC",4,0.426923076923077,0.01,24
